en,cht,pos,description
Advanced Race Guide,《進階種族指南》,書名,探索者角色扮演系列
Advanced Talents,高等天賦,職業能力,
Adventure Path,冒險之路,術語,超長戰役系列
Adventuring Gear,冒險裝備,術語,
Aegos,艾果斯,地點,林諾姆諸王國
Aeomak,艾歐瑪克,,
Aeon,御衡者,術語,異界生物、生物亞種
Aeosem River,艾歐瑟姆河,地點,特里亞克薩斯
Aerduin’s Folly,艾爾頓的愚行,城市,拉茲密安
Aericad,艾利卡德,人物,地獄復仇AP#103
Aernon,艾南,,
Aeromantic Infadibulum,氣象漏斗,物品,飛空城的驅動裝置
Aevolar’s Crossing,艾維拉路口,,
afflicted werewolf,感疫狼人,怪物,
affliction,苦難,術語,
Agahman Thrune,阿加曼·特魯恩,人物,艾格利安
Agathion,蓋丁,術語,異界生物、生物亞種；全稱蓋丁天族；蓋丁子域
Agathion Subdomain,蓋丁子域,術語,牧師領域
"Agathion, Cetaceal",鯨身神使,怪物,B2
"Agathion, Leonal",獅首神使,怪物,B2
"Agathion, Mustelidal",兇獾神使,怪物,AP#108
"Agathion, Vulpinal",靈狐神使,怪物,B2
Age Before Ages,史前時代,稱號,星殞之災之前失落年代的統稱
Age of Anguish,痛苦之年,時間,時代名
Age of Creation,創世之年,時間,時代名
Age of Darkness,黑暗之年,時間,時代名
Age of Destiny,命運之年,時間,時代名
Age of Enthronement,登基之年,時間,時代名
Age of Glory,榮耀之年,時間,時代名
Age of Legend,傳說之年,時間,時代名
Age of Lost Omens,預言破滅之年,時間,時代名
Age of Serpents,巨蛇之年,時間,時代名
Age of the Black Sphinx,黑斯芬克斯時代,時間,奧斯利昂第二時期
Agent of the Grave,墓穴使徒,進階職業,
Agents of Evil,《邪惡特工》,書名,玩家伴侶
Aghor Thal,阿格·塔爾,,
Agile Feet,靈巧步伐,領域能力,
Agile Maneuvers,靈活戰技,專長,CRB
Agilur,阿吉魯,人物,《被禁錮的小屋》
Aglaya Kurdst,阿格拉雅·科斯特,人物,沃南酋長
Agnarania,阿格納拉尼亞,怪物,蓋丁
agony,苦痛,,
Agrawgh,钻探蛇,怪物,Planes of Power
Agrellus Kisk,阿格瑞拉斯·奇斯克,人物,耐克斯三人議會成員之一
Agstarath,阿格絲塔拉斯,怪物,《夏日之雪》
Aguinford,阿金福德,,
Ahriman,阿里曼,神祇,邪教神祇，妖靈
Aid,援助術,法術,CRB
aid another,協助他人,術語,
Ailson Kindler,埃爾森·肯德爾,人物,暢銷小說家
Aimless Hills,失向丘,地點,塔爾多
Air,氣系,術語,生物亞種
Air,氣領域,術語,牧師領域
Air Breathing,空氣呼吸術,法術,《怪物志》
Air Domain,氣領域,術語,牧師領域
Air Elemental,氣元素,怪物,B1
Air Walk,凌空而行,法術,CRB
Air-Dominant,氣元素主導,術語,位面特性專用詞彙
Aiudara,艾悠達拉,稱號,精靈传送門網絡的別稱
Akashic Record,阿卡夏灵录,地點,半位面
Akiros Ismort,阿基羅斯·伊斯莫特,人物,冒險之路#31《被竊之地》
Akiton,阿基頓,行星,赤星
Aklo,邪靈語,语言,
Akramis River,阿克拉米斯河,地點,切利亞斯
Akuvskaya,阿庫夫斯蓋亞,地點,西伯利亞修道院
al-Aziz Bedaya,阿齊茲·巴達亞,人物,柯萊士古代召喚師
Al-Bashir,阿爾巴希爾,地點,卡蒂亞遺蹟，數百隻鷹身女妖的巢穴
Al-Zabriti,扎布里蒂,,
Alamein Peninsula,阿拉梅恩半島,地點,奧斯利昂
Alarm,魔法警報,法術,CRB
Alastros Niannah,阿拉斯托斯·尼安納,,
Alaznist,阿拉茲尼斯特,人物,憤怒魔印王
Albatross,信天翁鎮,城市,奈多
alchemical golem,煉金魔像,怪物,B2
Alchemical Silver,煉銀,特殊材料,
Alchemist,煉金術師,術語,基礎職業
Alchemist’s fire,熾火膠,物品,
Alchemist’s Lab,煉金實驗室,物品,
Alda’s Flank,阿爾達邊路,地點,默語森林
Aldinach,奧迪娜克,神祇,惡魔領主
Aldori Dueling Mastery,奧多里決鬥專家,術語,專長
Aldori dueling sword,奧多里決鬥劍,物品,異種武器
Aldori swordlords,奧多里劍豪,稱號,
Aldori swordpact,奧多里劍盟,組織,奧多里劍技的祕傳組織
Alert master,警告主人,法術,
Alertness,警覺,術語,專長
Alexeara Cansellarion,阿萊克西拉·坎塞拉里翁,人物,光復騎士團總帥
Alexei,阿列克謝,人物,
Alexius Demetri,阿萊克修斯·杰梅特里,人物,
Algid Wastes,冰冷荒原,地點,貝爾克澤恩
Algidheart,寒心城,城市,伊利森
Algren Fasth,艾格倫·法斯特,人物,AP#107
Alien,外星人,術語,格拉利昂星球之外其他星球上的未知生物
Alien Resistance,異形抗性,職業能力,
Align Weapon,陣營武器,法術,CRB
Alignment,陣營,術語,
Alignment Channel,陣營導能,專長,CRB
Alignment Traits,陣營特性,術語,位面特性專用詞彙
Alisa the Bandit Buster,「強盜終結者」艾麗薩,人物,地獄復仇AP#103
Alivia Thrune,艾麗維亞·特魯恩,人物,切利亞斯將領，中切利亞斯女公爵
Alkaiva,阿凱娃,,
Alken Falls,阿肯瀑布,城市,阿肯斯塔大公國
Alkenstar,阿肯斯塔,國家,無魔法的微型科技國家；大公國
Alkenstar City,阿肯斯塔城,城市,阿肯斯塔大公國
All Kings Day,無王日,節日,伽爾特
All-Around Vision,全域視野,怪物能力,
All-Auound Vision,全域視野,術語,通用怪物能力
Allied Territories,同盟疆域,國家,特里亞克薩斯
Alligator,短吻鱷,動物,CRB
Almas,阿拉瑪斯,城市,安多安首都
Alo-Gakil,阿拉-伽寇,地點,卡蒂亞
Aloren River,奧洛恩河,地點,瓦瑞西亞
Alpine Ice Axe,高山冰斧,裝備,
alter self,變身術,法術,CRB
Alterable Morphic,可變可塑,術語,位面特性專用詞彙
Alternate classe,替代性職業,職業,職業類別，主要是忍者和武士
Altitude Affinity,高原親和,術語,專長
Aluum,阿魯姆,組織,卡塔佩什的金屬魔像
alvarinio,阿瓦尼諾葡萄,,
Alvis,阿維斯,城市,安多安
Amaans,阿瑪安斯,地點,烏斯塔拉夫
Amagarra,阿瑪伽拉,人物,《被禁錮的小屋》
Amara Li,阿瑪拉·李,人物,燈籠會領袖，過峽的冒險隊長
Ambrihama,安布里哈馬,人物,AP#107
Ambrus Valsin,安姆布魯斯·瓦爾辛,人物,探索者協會冒險隊長
Amenopheus,阿門諾菲修斯,人物,藍寶石賢者
Amerenth,阿莫倫斯,,
Amilee,阿米莉,人物,AP#106
Amiri,艾米麗,人物,標誌人物 野蠻人
Amorphous,不定型體,術語,通用怪物能力
Amphibious,兩棲,術語,通用怪物能力
An,安,城市,奧斯利昂
An-Hepsu VII,安-哈普蘇七世,人物,奧斯利昂的法老
Anactoria,安納托瑞亞,地名,烏斯塔拉夫
Anais,阿內絲,,
Analyze Dweomer,解析咒文,法術,CRB
Anarchic,混沌,武器附魔,
Anastasia,阿納斯塔西亞,,
Anastazy Bronzehammer,阿納斯塔茲·銅錘,人物,貝利拉
Anathema,咒逐,,
Ancestor Worship,祖先崇拜,信仰,
Ancestors,先祖子域,術語,牧師領域
Ancestors Subdomain,先祖子域,術語,牧師領域
Ancestral Memory,先祖的記憶,法術,
Anchor’s End,停錨地,城市,阿卡迪亞地點
Ancient Osirion,古奧斯利昂,帝國,
Andirifkhu,安德莉芙庫,神祇,惡魔領主
Andoletta,安多萊塔,神祇,亞空天族
Andoran,安多安,國家,安多安
Andoran’s Margrave,安多安總督,稱號,安多安
Andoren Falconry,安多安馴鷹術,術語,專長
Andorens,安多安人,稱謂,
Andoshen River,安多薩恩河,地點,安多安(同Andossan)
Andossan River,安多薩恩河,地點,安多安(同Andoshen)
Andrazku,安德拉茲庫,怪物,惡魔；也稱厭女魔
Anelisha Elvanna,安娜麗莎·艾爾瓦娜,人物,白女巫；灰木城的管理者；女公爵
Anferita Wood,安佛瑞塔森林,地點,切利亞斯
Angazhan,安加贊,神祇,掌管野獸的惡魔領主
Angel,天使,術語,生物亞種
Angel Knight,天使騎士,稱號,倫西亞·維瑟倫的綽號
"Angel, Balisse",巴利斯天使,怪物,B1
"Angel, Movanic Deva",光暗使徒,怪物,B2
"Angel, Planetar",異界神侍,怪物,B1
"Angel, Solar",熾天神侍,怪物,
"Angle, Astral Deva",星界使徒,怪物,B1
"Angle, Iophanite",盾冕天使,怪物,《内海诸神》
"Angle, Monadic Deva",元素使徒,怪物,B2
"Angle, Ninkonda",罪天使,怪物,AP#108
Angradd,安哥拉德,神祇,矮人神系
Angry Hag,憤怒鬼婆,稱號,吉羅娜的稱號
Anichka Labacova,阿尼奇卡·拉巴科娃,人物,凱拉德
Animal,動物,術語,生物類型；動物領域
Animal Affinity,動物親和,術語,專長
Animal Companion,動物伙伴,術語,
Animal Domain,動物領域,術語,牧師領域
Animal Fury,野性之怒,狂暴之力,
Animal Growth,動物異變,法術,CRB
Animal Messenger,動物信使,法術,CRB
Animal Shapes,動物形態,法術,CRB
Animal Trance,迷惑動物,法術,CRB
Animate Dead,活化死屍,法術,CRB
Animate Flames,活化火焰,術語,怪物能力
Animate Objects,活化物體,法術,CRB
Animate Plants,活化植物,法術,CRB
Animate Rope,活化繩,法術,CRB
Animated Tank,活化坦克,怪物,
Anisya,阿妮西婭,人物,伊利森公主，女王莫甘娜之女，女公爵，死於陰謀
Anka Wodzieja,安卡·沃傑亞,,
Ankh,生命之符,物品,塞恩蕾的圣徽
Ankhazu,安卡祖,人物,拉瑪什圖祭司
Ankheg,掘地蟲,怪物,B1
Ankou,死魂精,怪物,B4
Annari Staelish,安娜麗·斯泰利什,人物,地獄復仇AP#103
annis hag,妖鬼婆,怪物,B3
Anok,阿諾克,人物,黛絲娜牧師
Anselm Mathis,安瑟姆·馬西斯,人物,AP#104
"Ant Lion, Giant",巨蟻獅,怪物,B3
Antilife Shell,防活物護罩,法術,CRB
Antimagic Field,反魔場,法術,CRB
Antios’s Crown,安提奧斯之冠,地點,塔爾多
Antipathy,嫌惡術,法術,CRB
Antiplant Shell,防植物護罩,法術,CRB
Antitoxin,抗毒劑,物品,
Antler Rock,鹿角石,地點,林諾姆諸王國
Antonius Thrune,安東尼烏斯·特魯恩,人物,阿波羅蓋一世之子
Aos River,奧斯河,地點,特里亞克薩斯
Ape,猿,動物,CRB
Apep,阿佩普,神祇,蛇神
Aphilosophy,理念,術語,類似信仰的行事之道
Aphorism,警句,術語,神祇術語
Apolliana,阿波利亞娜,人物,AP#108
Apollyon,亞玻倫,神祇,天啟騎士；瘟疫
Apollyon Ring,亞玻倫之戒,物品,神器
Aponavicius,阿波納維修斯,人物,六臂蛇魔
Apostae,阿珀斯塔,行星,信使
Appeaser,勸解人,變體,牧師
Applecheek,蘋果臉頰,物品,煉金物品
Appraise,估價,術語,技能
Apsu,阿普蘇,神祇,龙神
Aquan,水族語,语言,
Aquatic,水棲,術語,生物亞種
Aquatic Elf,水精靈,怪物,精靈民族
Arabrecht,阿拉布萊克特,地點,奇奧尼
Arakhan Narikopolus,阿拉漢·納里寇普洛斯,人物,AP#104
Aram Zey,阿蘭姆·澤伊,人物,探索者協會
Aranea,變形蛛,怪物,
Arazlant Mox,阿拉兹兰特·莫克斯山,地點,寇托斯島
Arazni,阿拉茲妮,神祇,奧羅登先鋒官，死後被重生為娼妓王后
Arbagazor,阿巴葛祖爾,,
Arboreal Palace,樹棲宮,地点,灰木城
Arcadia,阿卡迪亞,大陸,格拉利昂
Arcadian Ocean,阿卡迪亞洋,地點,格拉利昂
Arcanamirium,奧祕館,地點,艾巴薩羅姆魔法學院，由耐克斯的天穹輔臣所建立
Arcane,奧術,術語,魔法種類；牧師領域
Arcane,奧能,術語,
Arcane,奧術血統,法術,CRB
Arcane Apotheosis,奧術巔峰,職業能力,
Arcane Archer,魔射手,進階職業,CRB
Arcane Armor Mastery,披甲奧術熟稔,專長,CRB
Arcane Armor Training,披甲奧術訓練,專長,CRB
Arcane Bond,奧術聯結,職業能力,
arcane echo,奧術迴響,術語,怪物能力
Arcane Eye,祕法眼,法術,CRB
Arcane lock,祕法鎖,法術,CRB
Arcane Mark,祕法印記,法術,CRB
Arcane Pretender,祕法偽裝者,怪物,NPC志
Arcane School,奧術學派,職業能力,
arcane sight,祕法視力,法術,CRB
"Arcane Sight, Greater",高等祕法視力,法術,CRB
Arcane Spell,奧術,術語,
arcane spell failure chance,奧術失敗率,術語,
Arcane Strike,奧術打擊,專長,CRB
Arcane Subdomain,奧術子域,術語,牧師領域
Arcane Trickster,詭術師,進階職業,CRB
Arcane Vendetta,仇視奧術,術語,專長
arcanist,奧能師,職業,混合職業
arcanist exploit,奧能技藝,能力,奧能師職業能力
Arch of Aroden,奧羅登拱橋,地點,切利亞斯
Arch-Duchy of Melcat,梅爾卡特大公國,國家,河域諸國
Archbaron,大男爵,稱號,切利亞斯貴族稱號
Archbaroness,女大男爵,稱號,切利亞斯貴族稱號
Archcount,大伯爵,稱號,切利亞斯貴族稱號
Archcount of Nissitar,尼西達大伯爵,爵位,
Archcountess,女大伯爵,稱號,切利亞斯貴族稱號
Archdevil,大魔鬼,術語,煉獄統治者的稱號
Archduchess,女大公,稱號,切利亞斯貴族稱號
Archduchy of Hellcoast,地獄海岸大公爵領,地點,切利亞斯
Archduchy of Longmarch,長疆大公爵領,地點,切利亞斯
Archduchy of Menador,麥納多大公爵領,地點,切利亞斯
Archduchy of Ravounel,拉沃諾大公爵領,地點,切利亞斯
Archduchy of Sirmium,西米烏姆大公爵領,地點,切利亞斯
Archduchy of the Heartlands,中心地大公爵領,地點,切利亞斯
Archduke,大公,稱號,切利亞斯貴族稱號
Archerfeast,箭術節,節日,
Archie,阿奇,人物,地獄復仇AP#103
Archive of Redacted Histories,修訂歷史檔案館,地點,切利亞斯
Archon,亞空,術語,生物亞種；全稱亞空天族；亞空子域
Archon Subdomain,亞空子域,術語,牧師領域
"Archon Swarm, Mote",微塵亞空集群,怪物,AP#108
"Archon, Exscinder",抹消神使,怪物,B5
"Archon, Hammer",巨錘神使,怪物,AP#107
"Archon, Lantern",聖光神使,怪物,B1
"Archon, Legion",軍團神使,怪物,B3
"Archon, Shield",堅盾神使,怪物,B2
"Archon, Star",星辰神使,怪物,B2
"Archon, Trumpet",號角神使,怪物,B1
Archwizard,大法師,稱號,耐克斯的稱號
Arclord,天穹輔臣,組織,耐克斯
Ardagh,阿達哥,城市,烏斯塔拉夫
Ardant Fist,狂熱之拳,地點,鼎亞堡
Ardeal,阿迪爾,地點,烏斯塔拉夫
Ardin,阿爾丹,人物,AP#106
Ardis,阿迪斯,城市,索維迪亞·烏斯塔夫的故鄉，旧王都；烏斯塔拉夫
Ardshrod River,阿德施洛德河,地點,艾奧巴瑞亞
Area,區域,術語,法術描述
Areelu Vorlesh,阿麗魯·沃萊什,人物,半惡魔女巫
Areshkagal,厄萊什卡果,神祇,惡魔領主
Argavist Island,阿卡維斯特島,地點,瓦瑞西亞
Argentea Malassene,阿金緹雅·瑪拉思妮,,
Argus Goldtooth,奧古斯·金齒,,
Ariende Jharnavar,阿連德·賈納瓦,人物,AP#108
Arisa,亞里沙,人物,羅德
Aristocrat,望族,NPC職業,CRB
Arjan Devore,阿爾然·德沃爾,,
Arko Arkosson,阿爾科「阿爾科斯之子」,人物,
Arlantia,艾塔媞亞,人物,銳齒森林中的邪惡樹精
Armande,阿曼德,,
Armasse,武者節,節日,
Armies of Exploration,探索軍團,組織,塔爾多
Armiger,捧甲士,稱號,訓練中的地獄騎士或扈從
Armor,防具,術語,術語，用於物品種類
armor,護甲,術語,用於怪物數據中的AC類型
Armor,護甲,術語,
armor bonus,護甲加值,術語,
armor check penalty,防具檢定減值,術語,
Armor Class,防禦等級,術語,簡稱AC
Armor Mastery,防具熟稔,職業能力,戰士
Armor Proficiency,擅長護甲,專長,CRB
"Armor Proficiency, Heavy",擅長重甲,專長,CRB
"Armor Proficiency, Light",擅長輕甲,專長,CRB
"Armor Proficiency, Medium",擅長中甲,專長,CRB
Armor Spike,甲刺,防具,
Armor Training,護甲訓練,職業能力,
Armored glyptodons,雕齒獸,動物,重装穿山甲
Army of Exploration,探索軍團,組織,塔爾多
Arnlaugr the Fearless,「無畏者」安洛格爾,人物,烏爾芬英雄
Aroden,奧羅登,神祇,已逝
Aroden’s Hill,奧羅登山,地點,艾巴薩羅姆
Aroden’s Rise,奥罗登崮,地点,西冠城
Arodennama,奧羅登像,地點,西冠城
Arodus,奧羅都斯月,時間,八月
Aroggus,阿諾古斯,神祇,鏈魔喧主
Arremer Falls,阿雷默瀑布,地點,切利亞斯
Arronax Endymion,阿羅納克斯·艾迪米恩,人物,海王龍號的船長 地獄港的領主
Arsenic Vault,砒霜寶庫,地點,瑪爾伯格
Arshea,阿勒什,神祇,至高天神使
Arsmeril,阿斯枚利爾,城市,瓦瑞西亞
Arson,縱火子域,術語,牧師領域
Arson Subdomain,縱火子域,術語,牧師領域
Arthfell Forest,阿斯菲爾森林,地點,安多安
Arthfell Mountains,阿斯菲爾山脈,地點,安多安
Arthrosh River,阿斯羅什河,地點,安多安
Arthrugge,阿瑟魯格,人物,西冠城
Artifact,神器,術語,
Artifact,神器,術語,CRB
Artifacts & Legends,《神器與傳說》,書名,戰役設定集
Artifice,手藝領域,術語,牧師領域
Artifice Domain,手藝領域,術語,牧師領域
Artificer’s Touch,工匠之觸,領域能力,
Artisan’s Tool,工匠工具,物品,
Artokus Kirran,阿托庫斯·吉爾藍,人物,太陽蘭靈藥的發明者
Artrosa,阿特羅薩,地點,艾奧巴瑞亞
Artrosa Ring,阿特羅薩之戒,,
Artume,阿圖穆,城市,河域諸國
Arzikal,阿茲考,城市,芒吉莽原
Asad Grulios,阿薩德·格魯流斯,人物,AP#108
Ascanor Lodge,阿斯卡諾林屋,城市,烏斯塔拉夫
Ascaros,阿斯卡洛斯,,
Ascendance Day,登神節,節日,
Ascendant Court,登神者之庭,地點,艾巴薩羅姆地點
Ascension,飛昇,職業能力,
Ascension Plaza,登神廣場,地點,艾格利安
Asdoria Taraxion,阿斯多利亞·塔拉克森,人物,AP#106，女公爵
Asgard,阿斯加德,地點,極樂原野別名，北歐神話
Ash Hollow,灰燼谷,,
Ash House,灰屋,地點,地獄復仇AP#103
Ash Subdomain,灰燼子域,術語,牧師領域
Ashasar,阿沙薩,人物,探索者協會均衡教派勢力領袖，制衡之席的聯絡人
Ashel Ballenry,阿舍爾·巴倫瑞,人物,地獄復仇AP#103
Ashen Bull,灰燼公牛,稱號,摩洛克的稱號
Ashima,安島,地點,諸黑
Ashwood,灰燼之林,地點,瓦瑞西亞
asleep,睡眠,術語,狀態
Asmodean Advocate,阿斯莫迪爾斯律師,變體,牧師
Asmodean Disciplines,《阿斯莫迪爾斯如是說》,物品,阿斯莫迪爾斯的聖典
Asmodean Monograph,《阿斯莫迪爾斯專述》,物品,阿斯莫迪爾斯的聖典
Asmodean scrivener,阿斯莫迪爾斯公證人,人物,AP#106
Asmodeus,阿斯莫迪爾斯,神祇,核心神
Asmodeus Mirage,阿斯莫迪爾斯幻境,地點,與卡塔佩什聯通的半位面
Aspenthar,阿斯本薩,城市,圖維亞的第二大城市
Aspex Garden,阿斯佩克斯花園,地點,艾格利安
Aspex the Even-Tongued,「雙舌」阿斯佩克斯,人物,切利亞斯獨立后第一任國王
Aspexia Rugatonn,阿斯佩克夏·魯加頓,人物,阿斯莫迪爾斯至高祭司
Aspexia Thrune,阿斯佩克夏·特魯恩,人物,女術士 探索者
Aspirant,追求者,稱號,立志於通過星石試煉的人
Aspis Consortium,銜尾蛇財團,組織,一個切利亞斯的辛迪加組織
Aspo Bay,阿斯珀灣,地點,安多安
Aspodell Crossroads,阿斯珀德爾十字路口,地點,安多安
Aspodell Mountains,阿斯珀德爾山,地點,安多安
Assassin,刺客,進階職業,CRB
Assassin Vine,殺人藤,怪物,B1
Assassins’ Guild,刺客公會,組織,匕痕
Associative Act,聯合法案,物品,安多安現行法律的源頭
Astarathian,阿斯特拉蒂安,,
Astral Plane,星界,位面,內層位面之一
Astral Projection,星界投射,法術,CRB
Asulek’s Mouth,阿蘇萊克之口,地點,奧斯利昂
Asura,阿修羅,術語,生物亞種
asura rana,阿修羅魔尊,稱號,格殷永
"asura, aghasura",巨蛇阿修羅,怪物,B3
Atelier Kiritane,基里坦工作室,,
Athenaeum,大圖書館,地點,艾格利安
Athletic,運動健將,專長,CRB
Atonement,贖罪術,法術,CRB
Atrius,阿特利烏斯,人物,懦夫與烏鴉
Attach,攀附,術語,通用怪物能力
Attack,攻擊,術語,動物技巧
Attack Bonus,攻擊加值,術語,
attack of opportunity,借機攻擊,術語,
Attack Roll,攻擊骰,術語,
Attacks of Opportunity,借機攻擊,術語,
Attai HorseSpeaker,述馬者阿泰,,
attempt,嘗試,術語,
Attentive Mirror,觀察鏡,裝備,
Atteran family,阿特倫家族,人物,阿特倫牧區的統治者
Atteran Ranches,阿特倫牧區,地點,奈多
Atvan,阿特萬,地點,陰冷邊區
Auburphex,奧伯弗艾克斯,,
Aucturn,奧克頓,行星,陌者
Auginford,阿金福德,地點,奈多
Augment Summoning,增強召喚,專長,CRB
Augmented,增強,術語,生物亞種
Augury,占卜術,法術,CRB
Augustana,奧古斯塔娜,城市,安多安
Aula Chernevsky,阿烏拉·切尼夫斯基,人物,凍枯城
Aura,靈光,術語,通用怪物能力
Aura of Courage,勇氣靈光,職業能力,
Aura of Despair,絕望靈光,職業能力,
Aura of Faith,堅信靈光,職業能力,
Aura of Good,善良靈光,職業能力,
Aura of Justice,審判靈光,職業能力,
Aura of Madness,瘋狂靈光,領域能力,
Aura of Menace,威嚇靈光,術語,怪物能力
Aura of Protection,保護靈光,領域能力,
Aura of Resolve,虔誠靈光,職業能力,
Aura of Righteousness,公正靈光,職業能力,
Auraenos,奧瑞伊諾斯,,
Auran,風族語,语言,
Auriloch,奧里洛赫,,
aurumvorax,吞金獸,怪物,B2
automatic writing planchette,扶乩助寫板,物品,OA
Auwaz Couatl,奧瓦茲羽蛇,怪物,AP#140
Avalon Bay,阿瓦隆灣,地點,阿維斯坦
Avaria,阿瓦利亞,術語,瓦瑞西亞語中的變化系
Avendale,艾玟谷,城市,河域諸國
Avennara,阿雯娜拉,城市,奇奧尼
Average,一般,術語,飛行機動性
Avernus,阿弗納斯,位面,地獄第一層
Avernus Razorback,阿弗納斯尖背豬,怪物,AP#106
Averting Eyes,偏轉目光,術語,通用怪物能力
Aveshiel,阿夫希爾,人物,AP#108
Avidais,阿維戴斯,術語,瓦瑞西亞語中的防護系
Avimar Sorrinash,艾維瑪·索利納斯,人物,血月號的船長，奧魯港的統治者
Avisbelth,阿韋斯拜爾斯,怪物,绿龙
Avistan,阿維斯坦,大陸,格拉利昂
Avistani,阿維斯坦人,稱謂,
Avoral,鵬羽天使,怪物,B2
Awaken,啟蒙術,法術,CRB
Awzera River,奧澤拉河,地點,布雷斡
Axan Wood,阿克申森林,地點,蓋布
Axanir River,阿克申尼爾河,地點,蓋布
Axe Catcher,捕斧手,地點,
